Параметр,,Фев,Мар,Апр,Май,Июн,Июл,Авг,Сен,Окт,Ноя,Дек
Кол-во клиентов,,12,13,13,14,14,15,16,17,18,19,20
Цена консультации (₽),,2 000 ₽,2 000 ₽,2 000 ₽,2 000 ₽,3 000 ₽,3 000 ₽,3 000 ₽,3 000 ₽,3 000 ₽,3 000 ₽,3 000 ₽
Уроков в школе / неделю,,6,6,10,10,10,10,10,10,10,10,10
Цена урока в школе (₽),,900 ₽,900 ₽,900 ₽,900 ₽,900 ₽,900 ₽,900 ₽,900 ₽,900 ₽,900 ₽,900 ₽
Рабочих дней / неделю (консульт.),,5,5,5,5,5,5,5,5,5,5,5
Недель в месяце (среднее),,"4,33","4,33","4,33","4,33","4,33","4,33","4,33","4,33","4,33","4,33","4,33"
,,,,,,,,,,,,
Расчёт,,Фев,Мар,Апр,Май,Июн,Июл,Авг,Сен,Окт,Ноя,Дек
Доход консультации (₽),,103 920 ₽,112 580 ₽,112 580 ₽,121 240 ₽,181 860 ₽,194 850 ₽,207 840 ₽,220 830 ₽,233 820 ₽,246 810 ₽,259 800 ₽
Доход школа (₽),,23 382 ₽,23 382 ₽,38 970 ₽,38 970 ₽,38 970 ₽,38 970 ₽,38 970 ₽,38 970 ₽,38 970 ₽,38 970 ₽,38 970 ₽
Ставка налога (консультации),,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%
Налог на консультации (₽),,4 157 ₽,4 503 ₽,4 503 ₽,4 850 ₽,7 274 ₽,7 794 ₽,8 314 ₽,8 833 ₽,9 353 ₽,9 872 ₽,10 392 ₽
Ставка налога (школа),,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%
Налог на школу (₽),,1 403 ₽,1 403 ₽,2 338 ₽,2 338 ₽,2 338 ₽,2 338 ₽,2 338 ₽,2 338 ₽,2 338 ₽,2 338 ₽,2 338 ₽
,,,,,,,,,,,,
ИТОГО Дарья (₽),,121 742 ₽,130 056 ₽,144 709 ₽,153 022 ₽,211 217 ₽,223 688 ₽,236 158 ₽,248 629 ₽,261 099 ₽,273 569 ₽,286 040 ₽
,,,,,,,,,,,,
ИТОГО за 2026 (₽),,2 289 929 ₽,,,,,,,,,,
