Статья расходов,Валюта,Фев,Мар,Апр,Май,Июн,Июл,Авг,Сен,Окт,Ноя,Дек
Курс EUR/RUB,,"91,4","94,99","98,35","99,75","101,14","102,54","103,94","105,34","106,81","108,34","109,87"
,,,,,,,,,,,,
🏠 МОСКВА (Фев-Сен),,,,,,,,,,,,
Продукты,₽,60 000 ₽,60 000 ₽,60 000 ₽,60 000 ₽,60 000 ₽,60 000 ₽,60 000 ₽,60 000 ₽,0 ₽,0 ₽,0 ₽
Рестораны / кафе,₽,20 000 ₽,20 000 ₽,20 000 ₽,20 000 ₽,20 000 ₽,20 000 ₽,20 000 ₽,20 000 ₽,0 ₽,0 ₽,0 ₽
Транспорт,₽,10 000 ₽,10 000 ₽,10 000 ₽,10 000 ₽,10 000 ₽,10 000 ₽,10 000 ₽,10 000 ₽,0 ₽,0 ₽,0 ₽
Коммунальные,₽,20 000 ₽,20 000 ₽,20 000 ₽,15 000 ₽,15 000 ₽,15 000 ₽,15 000 ₽,10 000 ₽,10 000 ₽,10 000 ₽,10 000 ₽
Собака (Бруно),₽,20 000 ₽,20 000 ₽,20 000 ₽,20 000 ₽,20 000 ₽,20 000 ₽,20 000 ₽,20 000 ₽,0 ₽,0 ₽,0 ₽
Подписки / сервисы,₽,10 000 ₽,10 000 ₽,10 000 ₽,10 000 ₽,10 000 ₽,10 000 ₽,10 000 ₽,10 000 ₽,10 000 ₽,10 000 ₽,10 000 ₽
Здоровье / аптека,₽,50 000 ₽,5 000 ₽,5 000 ₽,5 000 ₽,5 000 ₽,5 000 ₽,5 000 ₽,5 000 ₽,0 ₽,0 ₽,0 ₽
Одежда / быт,₽,15 000 ₽,15 000 ₽,15 000 ₽,15 000 ₽,15 000 ₽,15 000 ₽,15 000 ₽,15 000 ₽,0 ₽,0 ₽,0 ₽
Связь / интернет,₽,5 000 ₽,5 000 ₽,5 000 ₽,5 000 ₽,5 000 ₽,5 000 ₽,5 000 ₽,5 000 ₽,0 ₽,0 ₽,0 ₽
Развлечения,₽,10 000 ₽,10 000 ₽,10 000 ₽,10 000 ₽,10 000 ₽,10 000 ₽,10 000 ₽,10 000 ₽,0 ₽,0 ₽,0 ₽
Прочее,₽,0 ₽,0 ₽,0 ₽,0 ₽,0 ₽,0 ₽,0 ₽,0 ₽,0 ₽,0 ₽,0 ₽
Итого Москва,,220 000 ₽,175 000 ₽,175 000 ₽,170 000 ₽,170 000 ₽,170 000 ₽,170 000 ₽,165 000 ₽,20 000 ₽,20 000 ₽,20 000 ₽
,,,,,,,,,,,,
🇪🇸 ИСПАНИЯ (Окт-Дек),,,,,,,,,,,,
Жизнь в Испании (€),€,0 €,0 €,0 €,0 €,0 €,0 €,0 €,0 €,3 500 €,3 500 €,3 500 €
Жизнь в Испании (₽ эквивалент),₽,0 ₽,0 ₽,0 ₽,0 ₽,0 ₽,0 ₽,0 ₽,0 ₽,373 835 ₽,379 190 ₽,384 545 ₽
Итого Испания (₽),,0 ₽,0 ₽,0 ₽,0 ₽,0 ₽,0 ₽,0 ₽,0 ₽,373 835 ₽,379 190 ₽,384 545 ₽
,,,,,,,,,,,,
💰 РАЗОВЫЕ РАСХОДЫ,,,,,,,,,,,,
Разведка Европы,₽,,,400 000 ₽,,,,,,,,
Юрист VIP (7 280€),₽,,,,,736 299 ₽,,,,,,
"Переезд (билеты, депозит)",₽,,,,,,,,1 000 000 ₽,,,
Семья,₽,,,,,,,,,,,
Итого разовые,,0 ₽,0 ₽,400 000 ₽,0 ₽,736 299 ₽,0 ₽,0 ₽,1 000 000 ₽,0 ₽,0 ₽,0 ₽
,,,,,,,,,,,,
ИТОГО РАСХОДЫ (₽),,220 000 ₽,175 000 ₽,575 000 ₽,170 000 ₽,906 299 ₽,170 000 ₽,170 000 ₽,1 165 000 ₽,393 835 ₽,399 190 ₽,404 545 ₽
