Задача,Детали,2026,,,,,,,,,,,2027,,,,2028,,,,2029,,,,2030,,,,2031,,,,2032,,,,2033,,,,2034,,,,2035,,,
,,Фев,Мар,Апр,Май,Июн,Июл,Авг,Сен,Окт,Ноя,Дек,Q1 2027,Q2 2027,Q3 2027,Q4 2027,Q1 2028,Q2 2028,Q3 2028,Q4 2028,Q1 2029,Q2 2029,Q3 2029,Q4 2029,Q1 2030,Q2 2030,Q3 2030,Q4 2030,Q1 2031,Q2 2031,Q3 2031,Q4 2031,Q1 2032,Q2 2032,Q3 2032,Q4 2032,Q1 2033,Q2 2033,Q3 2033,Q4 2033,Q1 2034,Q2 2034,Q3 2034,Q4 2034,Q1 2035,Q2 2035,Q3 2035,Q4 2035
🇪🇸 ПОДГОТОВКА К ПЕРЕЕЗДУ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Шенгенская виза,Для поездки-разведки,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Разведка Европы (15 дней),Барселона→Валенсия→Малага→Порту→Лиссабон,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Консультация + «под ключ»,"Иммиграционный юрист, за 4 мес до переезда",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Сбор документов,"Несудимость за 2 года, апостили, переводы, диплом/опыт 3г, контракт, страховка, выписки",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Шенгенская виза,Подача и получение шенгена для въезда в Испанию,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Переезд в Валенсию,Въезд по шенгену как турист,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Подача на DN ВНЖ из Испании,"UGE-CE онлайн, жена как cónyuge. Подать за 30+ дней до конца шенгена",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Одобрение ВНЖ (3 года),"Обработка ~20 рабочих дней. Empadronamiento, NIE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIE (карточка резидента),Отпечатки в полиции → карточка через 30-40 дней,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Обустройство,"Жильё, банк, регистрация Beckham Law (24% налог), быт",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
✈️ Москва: Новый год 2026-2027,Первые каникулы дома после переезда,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Собачка,Переезд Бруно к нам,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇪🇸 ЖИЗНЬ В ИСПАНИИ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Удалённая работа + интеграция,"Работа на зарубежных клиентов, испанский язык",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
✈️ Москва: всё лето 2027,Каникулы в Москве (июнь-август),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Продление ВНЖ (если нужно),Изначально 3 года → до осени 2029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Учить португальский,Подготовка к Бразилии (обязательно для натурализации),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Подготовка к родам в Бразилии,"Выбор клиники, логистика",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
✈️ Москва: перед Бразилией,Прощание с родными перед длинным отъездом,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇧🇷 БРАЗИЛИЯ: РОДЫ + ГРАЖДАНСТВО,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Зачатие,Планирование для родов ~июнь 2029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Прививка от жёлтой лихорадки,За 10+ дней до вылета,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Перелёт в Бразилию,"Безвизовый въезд (90 дней), ~7 мес беременности",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Роды,"Флорианополис, ребёнок = гражданин BR (jus soli)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Документы ребёнка,Cartório → свидетельство → CPF → паспорт BR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Продление пребывания,Продлить на +90 дней в Федеральной полиции,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
✈️ Москва: знакомство с бабушками,"Бразилия → Москва → Бразилия, показать ребёнка родителям",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ПМЖ родителей (VIPER),Подача в Фед. полицию через ребёнка-гражданина,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Жизнь в Бразилии (1 год ПМЖ),Обязательный год для натурализации. Португальский!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Подача на гражданство BR,"Платформа Naturalizar-se, после 1 года ПМЖ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Получение гражданства BR 🇧🇷,Обработка ~6 мес. Оба родителя — граждане,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇪🇸 ВОЗВРАЩЕНИЕ → ГРАЖДАНСТВО ЕС,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Возвращение в Испанию,Новый ВНЖ как граждане Бразилии (любой тип),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Резидентство — год 1,"Непрерывное проживание, макс 3 мес отсутствия",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Резидентство — год 2,Подготовка к CCSE (DELE A2 не нужен бразильцам),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Зачатие (ребёнок №2),Планирование для родов конец 2032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Роды в Испании (ребёнок №2),Гражданство BR через родителей (консулат). ES — через 1 год,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Гражданство ES для ребёнка №2,Рождён в Испании → гражданство после 1 года проживания,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Подача на гражданство ES,"Registro Civil, после 2 лет резидентства",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ожидание решения,Обработка 1-2 года,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Гражданство Испании 🇪🇸🇪🇺,"Присяга, паспорт ЕС для всей семьи",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Легенда:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Документы / подготовка,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Путешествия / перелёты,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Консультация / юрист,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Визы / ВНЖ / ожидание,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Переезд / обустройство,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Жизнь в стране / работа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ребёнок / роды,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Гражданство,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
